"datum";"tijd";"ri Centrum";"ri Mariakerke"
"14/07/2011";"17:44";"21";"46"
"14/07/2011";"17:59";"17";"60"
"14/07/2011";"18:14";"13";"48"
"14/07/2011";"18:29";"22";"48"
"14/07/2011";"18:44";"15";"51"
"14/07/2011";"18:59";"16";"30"
"14/07/2011";"19:14";"24";"23"
"14/07/2011";"19:29";"18";"29"
"14/07/2011";"19:44";"10";"20"
"14/07/2011";"19:59";"10";"20"
"14/07/2011";"20:14";"12";"12"
"14/07/2011";"20:29";"13";"11"
"14/07/2011";"20:44";"6";"10"
"14/07/2011";"20:59";"14";"7"
"14/07/2011";"21:14";"11";"9"
"14/07/2011";"21:29";"3";"10"
"14/07/2011";"21:44";"7";"4"
"14/07/2011";"21:59";"7";"7"
"14/07/2011";"22:14";"4";"3"
"14/07/2011";"22:29";"13";"9"
"14/07/2011";"22:44";"10";"11"
"14/07/2011";"22:59";"14";"15"
"14/07/2011";"23:14";"6";"9"
"14/07/2011";"23:29";"3";"7"
"14/07/2011";"23:44";"10";"5"
"14/07/2011";"23:59";"1";"13"
"15/07/2011";"0:14";"2";"3"
"15/07/2011";"0:29";"4";"6"
"15/07/2011";"0:44";"2";"6"
"15/07/2011";"0:59";"0";"4"
"15/07/2011";"1:14";"6";"19"
"15/07/2011";"1:29";"1";"10"
"15/07/2011";"1:44";"1";"2"
"15/07/2011";"1:59";"0";"9"
"15/07/2011";"2:14";"3";"5"
"15/07/2011";"2:29";"0";"0"
"15/07/2011";"2:44";"0";"1"
"15/07/2011";"2:59";"1";"0"
"15/07/2011";"3:14";"0";"0"
"15/07/2011";"3:29";"1";"1"
"15/07/2011";"3:44";"1";"4"
"15/07/2011";"3:59";"2";"2"
"15/07/2011";"4:14";"1";"2"
"15/07/2011";"4:29";"1";"2"
"15/07/2011";"4:44";"1";"1"
"15/07/2011";"4:59";"0";"0"
"15/07/2011";"5:14";"6";"0"
"15/07/2011";"5:29";"3";"0"
"15/07/2011";"5:44";"2";"2"
"15/07/2011";"5:59";"6";"1"
"15/07/2011";"6:14";"1";"1"
"15/07/2011";"6:29";"11";"3"
"15/07/2011";"6:44";"11";"6"
"15/07/2011";"6:59";"26";"5"
"15/07/2011";"7:14";"18";"10"
"15/07/2011";"7:29";"29";"7"
"15/07/2011";"7:44";"48";"4"
"15/07/2011";"7:59";"67";"13"
"15/07/2011";"8:14";"68";"14"
"15/07/2011";"8:29";"51";"18"
"15/07/2011";"8:44";"48";"26"
