Price,Date,Lat,Lng,Type,Floors,Building,Rooms,Floor,Area
3500.0,240,56.365696,43.82025,Resale,9.0,Brick,3.0,4.0,60.0
4000.0,240,56.3230570451,44.007861588699996,Resale,3.0,Brick,3.0,3.0,57.0
2150.0,240,56.267552,43.892107,Resale,5.0,Panel,2.0,1.0,38.0
3100.0,240,56.359963,43.813756,Resale,5.0,Panel,4.0,2.0,59.0
3585.0,240,56.325374,43.937463,Resale,9.0,Panel,2.0,7.0,52.5
2380.0,240,56.36802700000001,43.818317,Resale,9.0,Brick,2.0,7.0,46.0
38500.0,240,56.317963,44.06323,Resale,25.0,Brick,5.0,22.0,313.0
1500.0,241,56.346895999999994,43.802428000000006,Resale,5.0,Panel,1.0,2.0,28.0
1669.0,240,56.283915,44.082083000000004,New,7.0,Block,1.0,5.0,33.0
3800.0,240,56.366988,43.809653000000004,New,14.0,Monolithic,2.0,2.0,73.0
6800.0,241,56.35001800000001,43.852357,Resale,12.0,Brick,3.0,4.0,86.0
6800.0,240,56.30637700000001,43.995808000000004,Resale,17.0,Brick,2.0,12.0,78.0
1900.0,241,56.334837,43.842008,Resale,9.0,Brick,1.0,6.0,30.3
2300.0,241,56.313897999999995,43.994802,Resale,2.0,Brick,2.0,2.0,37.0
850.0,241,56.326887,44.005977,Resale,2.0,Brick,3.0,2.0,60.0
3800.0,240,56.29934100000001,44.060155,Resale,9.0,Panel,3.0,1.0,67.0
2000.0,240,56.233293999999994,43.857073,Resale,5.0,Panel,1.0,1.0,30.0
3000.0,240,56.36145,43.818687,Resale,9.0,Brick,3.0,9.0,60.0
2000.0,240,56.288123999999996,43.876995,Resale,2.0,Brick,2.0,1.0,38.0
2650.0,240,56.35993199999999,43.819813,Resale,9.0,Brick,2.0,5.0,44.0
2600.0,240,56.360946999999996,43.822136,Resale,9.0,Brick,2.0,6.0,58.0
3050.0,240,56.350306999999994,43.85119,Resale,2.0,Brick,4.0,2.0,63.0
2200.0,240,56.326885,44.005984999999995,Resale,10.0,Brick,1.0,1.0,34.0
2750.0,240,56.304076,44.044039,Resale,5.0,Panel,2.0,2.0,49.0
2600.0,240,56.36476517,43.82760620000001,Resale,5.0,Brick,3.0,5.0,60.0
2720.0,240,56.317053,44.033457,Resale,9.0,Brick,1.0,7.0,35.8
2000.0,240,56.378818,43.787759,Resale,3.0,Brick,2.0,2.0,40.0
2390.0,240,56.324616000000006,43.917637,Resale,5.0,Brick,2.0,5.0,46.0
3380.0,240,56.341328000000004,43.953174,Resale,17.0,Block,1.0,6.0,45.0
2750.0,240,56.25918299999999,43.980474,Resale,11.0,Brick,1.0,10.0,40.0
1750.0,240,56.366988,43.809653000000004,New,14.0,Block,1.0,7.0,35.0
2350.0,240,56.260630000000006,43.89154,Resale,9.0,Brick,2.0,6.0,38.1
1980.0,240,56.28243000000001,43.93247,Resale,5.0,Brick,2.0,4.0,40.8
